title,rating
28 Days Later...,7.18
A Time to Kill,7.92
Anomalisa,7.5
Central Intelligence,6.88
Dead Poets Society,8.33
Detachment,8.14
Dial M for Murder,8.12
Dog Day Afternoon,8.6
El cuerpo,8.44
Everest,7.07
Everybody Wants Some!!,6.88
Garden State,8.67
God Bless America,7.5
Heaven Is for Real,6.12
Hitman: Agent 47,5.5
House at the End of the Street,5.96
I Spit on Your Grave 2,6.23
Intouchables,8.93
JÃ»san-nin no shikaku,8.0
Love Actually,8.0
Macbeth,7.5
Madagascar 3: Europe's Most Wanted,6.67
Maleficent,7.56
Man on Fire,8.44
Maps to the Stars,5.86
Me Before You,7.59
Mrs. Doubtfire,8.5
Much Ado About Nothing,7.55
Neighbors 2: Sorority Rising,5.35
Non-Stop,7.23
P.S. I Love You,6.5
Paul Blart: Mall Cop 2,5.6
Pitch Perfect 2,7.27
Poltergeist,7.89
Real Steel,8.2
Shaun the Sheep Movie,7.21
Sightseers,6.67
Sunshine,7.5
Texas Chainsaw 3D,5.19
The End of the Tour,6.47
The Life of David Gale,8.4
To the Wonder,6.42
Tower Heist,6.62
Tyler Perry's Temptation,5.0
Vaiana,8.0
War of the Worlds,7.82
Welcome to Me,6.0
Why Him?,6.36
Wreck-It Ralph,7.83
